name,P_cont_nominal,P_disp_nominal,P_cont,P_disp,repeat,status,frequency_Hz,n_detections,n_free,L_um,w_um,d_eq_um,L_over_w,polydispersity,v_drop_mm_s
pc10k_pd3.3k_r1,10000.0,3300.0,9974.3,3390.2,1,ok,33.333333333333336,89,64,240.57971313595772,127.49999450534233,193.53840925427872,1.6038647542397182,0.13240573121764249,25.623050974677632
pc10k_pd3.3k_r2,10000.0,3300.0,9867.0,3323.2,2,ok,33.333333333333336,89,63,233.06164075620472,127.49999450534233,192.79688005543886,1.5537442717080314,0.13456636908237551,25.240501542311026
pc10k_pd3.6k_r0,10000.0,3600.0,10180.7,3606.8,0,ok,33.333333333333336,83,59,278.1702787615359,120.00000060652383,193.7233480535272,1.854468525076906,0.18399269330238202,21.62807048724382
pc10k_pd3.6k_r1,10000.0,3600.0,9851.3,3533.6,1,ok,33.333333333333336,90,68,225.54351016879082,127.49999450534233,185.121659366322,1.503623401125272,0.17192395998039314,23.304278628823933
pc10k_pd3.6k_r2,10000.0,3600.0,9908.5,3615.9,2,ok,33.333333333333336,81,57,285.68838024511933,127.49999450534233,194.64540632397362,1.9045892016341288,0.18463607853359668,20.71789794728691
pc11.5k_pd2.4k_r0,11500.0,2400.0,11267.8,2390.0,0,ok,16.666666666666668,68,45,187.95288633555174,127.49999450534233,168.19569297275044,1.2530192422370117,0.10404515588426562,23.214613487951546
pc11.5k_pd2.4k_r1,11500.0,2400.0,11463.4,2426.0,1,ok,16.666666666666668,69,46,180.43479940388352,127.49999450534233,167.9826521108426,1.2028986626925569,0.10427865441922979,23.593313913738147
pc11.5k_pd2.4k_r2,11500.0,2400.0,11549.4,2417.1,2,ok,16.666666666666668,68,46,180.4347848519683,127.49999450534233,167.12777301402352,1.2028985656797886,0.10525495802665877,23.688942538218473
pc11.5k_pd2.7k_r0,11500.0,2700.0,11349.6,2693.0,0,ok,16.666666666666668,73,51,195.4709878191352,127.49999450534233,172.6088217525457,1.3031399187942345,0.10410952386962583,24.468155056749744
pc11.5k_pd2.7k_r1,11500.0,2700.0,11680.3,2780.6,1,ok,33.333333333333336,76,52,195.4709878191352,127.49999450534233,172.2973155945765,1.3031399187942345,0.10405610614900482,25.454263738127086
