counter,config,intervention,P_cont,P_disp,P_out,P_cont_meas,P_disp_meas,P_out_meas,f_droplet,d_droplet,L_droplet,w_droplet,n_droplets,polydispersity,v_droplet,regime,status
46,pressure_driven,0,14500.0,2400.0,0,14374.5,2364.7,0,16.666666666666668,154.8953008435959,157.88048040121794,119.99999742329237,40,0.09957375063217265,28.329946294985948,dripping,ok
47,pressure_driven,0,14500.0,2400.0,0,14572.4,2449.5,0,16.666666666666668,156.0471284358011,165.3985818848014,119.99999424006091,42,0.09626955186858553,29.09952651380624,dripping,ok
48,pressure_driven,0,14500.0,2700.0,0,14546.7,2668.4,0,33.333333333333336,158.5513268987815,165.3985818848014,127.49999450534233,47,0.09164898008619958,30.07245748969055,dripping,ok
49,pressure_driven,0,14500.0,2700.0,0,14111.0,2624.3,0,33.333333333333336,159.9007242251028,172.91668336838484,127.49999450534233,46,0.09022953544467405,29.200986057490372,dripping,ok
50,pressure_driven,0,14500.0,2700.0,0,14645.8,2753.4,0,33.333333333333336,159.45219396085363,172.9166688164696,127.49999450534233,48,0.09288955336318368,30.568121738691815,dripping,ok
51,pressure_driven,0,14500.0,3000.0,0,14452.4,2935.5,0,33.333333333333336,162.78604984703065,180.43475574813783,127.49999450534233,53,0.09367425429619165,31.102373961514186,dripping,ok
52,pressure_driven,0,14500.0,3000.0,0,14753.2,2923.2,0,33.333333333333336,161.46076823318984,172.91668336838484,127.49999450534233,53,0.09437953606023192,31.692021488936543,dripping,ok
53,pressure_driven,0,14500.0,3000.0,0,14293.2,3037.3,0,16.666666666666668,164.9711952696999,180.4347848519683,127.49999450534233,58,0.10560875731675269,31.379210752647136,dripping,ok
54,pressure_driven,0,14500.0,3300.0,0,13847.5,3325.5,0,33.333333333333336,171.35952556089197,195.4709878191352,127.49999450534233,61,0.09613840134744929,31.906216160425146,dripping,ok
55,pressure_driven,0,14500.0,3300.0,0,14331.3,3307.2,0,33.333333333333336,168.8332026224634,187.95294454321265,123.74999437270162,60,0.0918479446253963,32.75782995504547,dripping,ok
56,pressure_driven,0,14500.0,3300.0,0,14478.0,3313.3,0,33.333333333333336,168.408464332928,187.95288633555174,119.99999424006091,59,0.087023738874808,33.00078691933183,dripping,ok
57,pressure_driven,0,14500.0,3600.0,0,14701.3,3545.4,0,50.0,170.94106455638823,195.47101692296565,127.49999450534233,61,0.09260648301516558,34.6438397208378,dripping,ok
58,pressure_driven,0,14500.0,3600.0,0,14912.1,3652.3,0,50.0,171.98530801678393,195.4710460267961,127.49999450534233,63,0.10126649350974065,35.408753004808624,dripping,ok
59,pressure_driven,0,14500.0,3600.0,0,14744.7,3683.9,0,50.0,173.4366865584312,202.98908930271864,127.49999450534233,64,0.10624322633043087,35.38627283457711,dripping,ok
60,pressure_driven,0,16000.0,2400.0,0,16252.0,2440.5,0,16.666666666666668,149.96197337620055,157.88042219355702,119.99999424006091,39,0.08790009962093064,31.689776109381196,dripping,ok
61,pressure_driven,0,16000.0,2400.0,0,16024.2,2331.5,0,16.666666666666668,149.24387520334034,150.36232070997357,119.99999424006091,35,0.09085799425190776,30.598861406648865,dripping,ok
62,pressure_driven,0,16000.0,2400.0,0,15956.8,2363.1,0,16.666666666666668,149.8424816880215,157.88039308972657,119.99999424006091,36,0.07891286849630236,30.69413998159333,dripping,ok
63,pressure_driven,0,16000.0,2700.0,0,15544.7,2714.0,0,33.333333333333336,156.16178472721782,165.3985382290557,127.49999450534233,46,0.08017204349507902,31.857840399000082,dripping,ok
64,pressure_driven,0,16000.0,2700.0,0,15818.1,2644.4,0,33.333333333333336,154.43240664549634,161.6395020391792,127.49999450534233,44,0.07546581962377408,32.111635313279606,dripping,ok
65,pressure_driven,0,16000.0,2700.0,0,15666.2,2714.5,0,33.333333333333336,155.70248386822436,165.39855278097093,127.49999450534233,46,0.07940829044917265,31.992617181192458,dripping,ok
66,pressure_driven,0,16000.0,3000.0,0,16114.8,3079.3,0,33.333333333333336,158.77702285203495,172.91665426455438,127.49999450534233,55,0.08728711478698126,34.37894534588847,dripping,ok
67,pressure_driven,0,16000.0,3000.0,0,15995.5,3062.5,0,33.333333333333336,159.00239844149198,172.91668336838484,123.74999437270162,56,0.09554816621870198,34.338365285395604,dripping,ok
68,pressure_driven,0,16000.0,3000.0,0,16448.7,3069.0,0,33.333333333333336,157.3041697520884,165.3985818848014,123.74999437270162,54,0.0884867432159949,35.24297823800449,dripping,ok
69,pressure_driven,0,16000.0,3300.0,0,15243.1,3381.1,0,50.0,166.2684985650065,187.95288633555174,127.49999450534233,61,0.09812363448330369,34.31907112409905,dripping,ok
70,pressure_driven,0,16000.0,3300.0,0,16108.7,3328.0,0,33.333333333333336,162.34549139417837,180.4347848519683,123.74999437270162,58,0.09118266536277643,35.66165821058198,dripping,ok
71,pressure_driven,0,16000.0,3300.0,0,16118.8,3325.3,0,33.333333333333336,162.34549139417837,180.4347848519683,123.74999437270162,58,0.09172704586496949,35.693548555946876,dripping,ok
72,pressure_driven,0,16000.0,3600.0,0,16102.2,3574.2,0,50.0,166.05298519048134,187.95288633555174,123.74999437270162,62,0.10479018179027387,37.14663762785286,dripping,ok
73,pressure_driven,0,16000.0,3600.0,0,15391.5,3592.2,0,50.0,169.0451715730122,195.4709878191352,127.49999450534233,62,0.0965571865299722,35.9304765889717,dripping,ok
74,pressure_driven,0,16000.0,3600.0,0,15742.8,3677.8,0,50.0,169.15102331866854,195.47100237105042,123.74999437270162,64,0.10667529705761307,37.14539979850437,dripping,ok
