time_s,vtk_index,droplet_in_frame,x_min_um,x_max_um,x_centroid_um,L_um,w_um,V_nL,n_cells,V1_nL,c1,V2_nL,c2,V3_nL,c3,dye_closure_err,dye_outside_frac,core_bias_strict,asym_strict
0.16,16019,0,4251.851700246334,5449.999822303653,4848.814909167168,1198.1481220573187,676.9230749341659,490.3017468988308,351,163.42494311529916,0.333315033342152,163.42454167059756,0.333314214571458,163.452262112934,0.3333707520863899,0.18620808524434032,0.14792293444843793,-3.0169578207395187e-05,-5.8642334807401664e-05
0.1625,16269,0,4370.370414108038,5569.999804720283,4927.982924075653,1199.6293906122446,676.9230749341659,487.07339794127796,351,162.348908330252,0.3333150794448128,162.34850981161028,0.3333142612546932,162.37597979941566,0.3333706593004939,0.1887693367311259,0.14796625362892024,-3.026750774715037e-05,-5.88379745961598e-05
0.165,16519,0,4429.9999717622995,5629.999795928597,5007.168963079718,1199.999824166298,676.9230749341659,482.88205469618157,338,160.95175218531682,0.333314834585402,160.95135296265477,0.3333140078355608,160.97894954820995,0.33337115757903707,0.19551912883689893,0.14591052383935346,-3.070599399002116e-05,-5.969282507661822e-05
0.1675,16769,0,4489.999962970614,5689.999787136912,5086.685648044282,1199.999824166298,676.9230749341659,479.8384896810087,338,159.93721714014634,0.3333146893790676,159.93681798350912,0.3333138575228372,159.9644545573532,0.3333714530980951,0.20219998417094096,0.14797009334142944,-3.084676315262547e-05,-5.9958792306358255e-05
0.17,17019,0,4609.999945387244,5810.000002384186,5167.06230794842,1200.0000569969416,676.9230749341659,471.81995627293463,338,157.26448858612022,0.3333146182039556,157.26409543762665,0.33331378494438624,157.29137224918776,0.33337159685165824,0.2069969452673245,0.15641120631076189,-3.0827953863055146e-05,-5.993146784288861e-05
0.1725,17269,0,4669.999936595559,5870.000226423144,5247.466263612447,1200.0002898275852,676.9230749341659,471.4928376393779,351,157.1554907031385,0.3333146935804338,157.15510026164043,0.3333138654840835,157.18224667459896,0.3333714409354826,0.2134747473740987,0.15982192738556028,-3.145977542456935e-05,-6.115353602603735e-05
0.175,17519,0,4729.999927803874,5930.000217631459,5327.820325479151,1200.0002898275852,738.4615382761694,466.9371450471303,351,155.6369294311553,0.3333145179860259,155.63653903361268,0.3333136819044531,155.6636765823623,0.33337180010952094,0.22084156727159418,0.1648165672905727,-3.1176342358552045e-05,-6.0598122351041006e-05
0.1775,17769,0,4849.999910220504,6050.000200048089,5408.680910353066,1200.0002898275852,738.4615382761694,465.2333147566027,351,155.06908417974455,0.3333146601095677,155.06869868967965,0.33331383151442484,155.09553188717848,0.33337150837600743,0.22340100657632883,0.16070959201805565,-3.1019484961147814e-05,-6.0299794221563285e-05
0.18,18019,0,4909.999901428819,6110.000191256404,5489.655378005987,1200.0002898275852,738.4615382761694,464.9691533444088,351,154.981063583852,0.3333147209209715,154.98068000837588,0.3333138959727499,155.00740975218093,0.3333713831062787,0.23201961574998292,0.1583018474637018,-3.1444462298857445e-05,-6.112259788526586e-05
0.1825,18269,0,4969.999892637134,6170.000182464719,5570.126508026974,1200.0002898275852,738.4615382761694,457.8642824396746,351,152.61284093505975,0.3333145798617019,152.61246176118368,0.3333137517257441,152.63897974343118,0.333371668412554,0.2379241409949372,0.16821534481574946,-3.099387736354986e-05,-6.024830770046119e-05
